2025-08-15 21:29:09 [INFO] Lot généré : C:\Users\maxam\Desktop\trans_sent\translations\batches\batch_05051_05100.parquet (50 phrases)
2025-08-15 21:29:09 [INFO] Lot généré : C:\Users\maxam\Desktop\trans_sent\translations\batches\batch_05101_05150.parquet (50 phrases)
2025-08-15 21:29:09 [INFO] Lot généré : C:\Users\maxam\Desktop\trans_sent\translations\batches\batch_05151_05200.parquet (50 phrases)
2025-08-15 21:29:09 [INFO] Lot généré : C:\Users\maxam\Desktop\trans_sent\translations\batches\batch_05201_05250.parquet (50 phrases)
2025-08-15 21:29:09 [INFO] Lot généré : C:\Users\maxam\Desktop\trans_sent\translations\batches\batch_05251_05300.parquet (50 phrases)
2025-08-15 21:29:09 [INFO] Lot généré : C:\Users\maxam\Desktop\trans_sent\translations\batches\batch_05301_05350.parquet (50 phrases)
2025-08-15 21:29:09 [INFO] Lot généré : C:\Users\maxam\Desktop\trans_sent\translations\batches\batch_05351_05400.parquet (50 phrases)
2025-08-15 21:29:09 [INFO] Lot généré : C:\Users\maxam\Desktop\trans_sent\translations\batches\batch_05401_05450.parquet (50 phrases)
2025-08-15 21:29:09 [INFO] Lot généré : C:\Users\maxam\Desktop\trans_sent\translations\batches\batch_05451_05500.parquet (50 phrases)
2025-08-15 21:29:09 [INFO] Lot généré : C:\Users\maxam\Desktop\trans_sent\translations\batches\batch_05501_05550.parquet (50 phrases)
2025-08-15 21:29:09 [INFO] Lot généré : C:\Users\maxam\Desktop\trans_sent\translations\batches\batch_05551_05600.parquet (50 phrases)
2025-08-15 21:29:09 [INFO] Lot généré : C:\Users\maxam\Desktop\trans_sent\translations\batches\batch_05601_05650.parquet (50 phrases)
2025-08-15 21:29:09 [INFO] Lot généré : C:\Users\maxam\Desktop\trans_sent\translations\batches\batch_05651_05700.parquet (50 phrases)
2025-08-15 21:29:09 [INFO] Lot généré : C:\Users\maxam\Desktop\trans_sent\translations\batches\batch_05701_05750.parquet (50 phrases)
2025-08-15 21:29:09 [INFO] Lot généré : C:\Users\maxam\Desktop\trans_sent\translations\batches\batch_05751_05800.parquet (50 phrases)
2025-08-15 21:29:09 [INFO] Lot généré : C:\Users\maxam\Desktop\trans_sent\translations\batches\batch_05801_05850.parquet (50 phrases)
2025-08-15 21:29:09 [INFO] Lot généré : C:\Users\maxam\Desktop\trans_sent\translations\batches\batch_05851_05900.parquet (50 phrases)
2025-08-15 21:29:09 [INFO] Lot généré : C:\Users\maxam\Desktop\trans_sent\translations\batches\batch_05901_05950.parquet (50 phrases)
2025-08-15 21:29:09 [INFO] Lot généré : C:\Users\maxam\Desktop\trans_sent\translations\batches\batch_05951_06000.parquet (50 phrases)
2025-08-15 21:29:09 [INFO] Lot généré : C:\Users\maxam\Desktop\trans_sent\translations\batches\batch_06001_06050.parquet (50 phrases)
